INFO 2025-04-27 22:38:46,260 autoreload Watching for file changes with StatReloader
DEBUG 2025-04-27 22:38:46,262 autoreload Waiting for apps ready_event.
DEBUG 2025-04-27 22:38:46,267 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-04-27 22:38:46,276 autoreload Watching dir D:\Desktop\middle_requests\middel_req\app01\templates with glob **/*.
DEBUG 2025-04-27 22:38:46,277 autoreload Watching dir D:\Desktop\middle_requests\middel_req\locale with glob **/*.mo.
DEBUG 2025-04-27 22:38:46,277 autoreload Watching dir D:\Desktop\middle_requests\middel_req\app01\locale with glob **/*.mo.
DEBUG 2025-04-27 22:38:46,308 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None
DEBUG 2025-04-27 22:38:46,403 autoreload File E:\python3_7_9\Lib\site-packages\django\core\management\color.py first seen with mtime 1732347814.6964657
DEBUG 2025-04-27 22:38:46,403 autoreload File E:\python3_7_9\Lib\unittest\__init__.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,403 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\query.py first seen with mtime 1732347814.774679
DEBUG 2025-04-27 22:38:46,403 autoreload File E:\python3_7_9\Lib\pkgutil.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,403 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1732347814.8898659
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\email\_header_value_parser.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\site-packages\dateutil\_version.py first seen with mtime 1693740670.0704455
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1732347814.789639
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\sessions\__init__.py first seen with mtime 1732347814.2875755
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\site-packages\django\middleware\security.py first seen with mtime 1732347814.836227
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\site-packages\matplotlib\rcsetup.py first seen with mtime 1696915582.8447752
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\site-packages\django\utils\hashable.py first seen with mtime 1732347814.901234
DEBUG 2025-04-27 22:38:46,404 autoreload File E:\python3_7_9\Lib\site-packages\numpy\lib\type_check.py first seen with mtime 1693740664.6602998
DEBUG 2025-04-27 22:38:46,405 autoreload File E:\python3_7_9\Lib\site-packages\PIL\ImageMode.py first seen with mtime 1694687309.1751156
DEBUG 2025-04-27 22:38:46,405 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1732347814.7836542
DEBUG 2025-04-27 22:38:46,405 autoreload File E:\python3_7_9\Lib\email\utils.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,405 autoreload File E:\python3_7_9\Lib\traceback.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,405 autoreload File E:\python3_7_9\Lib\site-packages\django\views\static.py first seen with mtime 1732347814.9251938
DEBUG 2025-04-27 22:38:46,406 autoreload File E:\python3_7_9\Lib\site-packages\django\db\backends\sqlite3\operations.py first seen with mtime 1732347814.7513182
DEBUG 2025-04-27 22:38:46,406 autoreload File E:\python3_7_9\Lib\site-packages\django\core\checks\model_checks.py first seen with mtime 1732347814.6735268
DEBUG 2025-04-27 22:38:46,406 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\messages\storage\__init__.py first seen with mtime 1732347814.0127592
DEBUG 2025-04-27 22:38:46,406 autoreload File E:\python3_7_9\Lib\uu.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,407 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\staticfiles\__init__.py first seen with mtime 1732347814.6525834
DEBUG 2025-04-27 22:38:46,407 autoreload File E:\python3_7_9\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1732347814.6735268
DEBUG 2025-04-27 22:38:46,407 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1732347814.791633
DEBUG 2025-04-27 22:38:46,407 autoreload File E:\python3_7_9\Lib\email\encoders.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,408 autoreload File E:\python3_7_9\Lib\encodings\gbk.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,408 autoreload File E:\python3_7_9\Lib\site-packages\pyparsing\__init__.py first seen with mtime 1692672936.3476093
DEBUG 2025-04-27 22:38:46,408 autoreload File E:\PyCharm 2024.1.1\plugins\python\helpers\pycharm_matplotlib_backend\sitecustomize.py first seen with mtime 1714406444.0
DEBUG 2025-04-27 22:38:46,408 autoreload File E:\python3_7_9\Lib\asyncio\streams.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,409 autoreload File E:\python3_7_9\Lib\site-packages\django\__init__.py first seen with mtime 1732347812.0831268
DEBUG 2025-04-27 22:38:46,409 autoreload File E:\python3_7_9\Lib\tokenize.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,409 autoreload File E:\python3_7_9\Lib\importlib\machinery.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,409 autoreload File E:\python3_7_9\Lib\opcode.py first seen with mtime 1597658266.0
DEBUG 2025-04-27 22:38:46,409 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1732347814.6545773
DEBUG 2025-04-27 22:38:46,409 autoreload File E:\python3_7_9\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1732347813.0525625
DEBUG 2025-04-27 22:38:46,410 autoreload File E:\python3_7_9\Lib\site-packages\numpy\core\records.py first seen with mtime 1693740664.4537547
DEBUG 2025-04-27 22:38:46,410 autoreload File E:\python3_7_9\Lib\json\scanner.py first seen with mtime 1597658262.0
DEBUG 2025-04-27 22:38:46,410 autoreload File E:\python3_7_9\Lib\site-packages\django\db\models\sql\constants.py first seen with mtime 1732347814.788644
DEBUG 2025-04-27 22:38:46,410 autoreload File E:\python3_7_9\Lib\dis.py first seen with mtime 1597658264.0
DEBUG 2025-04-27 22:38:46,410 autoreload File E:\python3_7_9\Lib\site-packages\django\template\context.py first seen with mtime 1732347814.839218
DEBUG 2025-04-27 22:38:46,411 autoreload File E:\python3_7_9\Lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1692672925.434181
